year,region,variable,estimate,moe
2021,Seattle (King Co),walked,0.036665086993639205,0.004283768054263888
2021,Seattle (King Co),work_from_home,0.38337053618737016,0.0089159684596662
2022,Seattle (King Co),bicycle,0.0110146251178957,0.001891978896972269
2022,Seattle (King Co),carpool,0.06569483227546567,0.004669032783274423
2022,Seattle (King Co),drove_alone,0.5066574259566595,0.009252543279521528
2022,Seattle (King Co),other,0.00749852958143295,0.0016249234535190404
2022,Seattle (King Co),public_transit,0.06329617416855797,0.004376159290907286
2022,Seattle (King Co),taxi_or_ride_share,9.79472230671358e-4,3.792025934230134e-4
2022,Seattle (King Co),total,1,0.008054424447110516
2022,Seattle (King Co),walked,0.03870448257806127,0.00327163088580919
2022,Seattle (King Co),work_from_home,0.304618284180878,0.006556977610103893
2023,Seattle (King Co),bicycle,0.01229773204753571,0.001982116303823507
2023,Seattle (King Co),carpool,0.07723954824332352,0.006686253951674952
2023,Seattle (King Co),drove_alone,0.5317150568283747,0.00967936119405365
2023,Seattle (King Co),other,0.00982207994642067,0.0016440562423507932
2023,Seattle (King Co),public_transit,0.08029564309149548,0.005031832660269571
2023,Seattle (King Co),taxi_or_ride_share,0.0012605494273310398,5.916051075772496e-4
2023,Seattle (King Co),total,1,0.006963718341751614
2023,Seattle (King Co),walked,0.045132612829538794,0.0042648190302300645
2023,Seattle (King Co),work_from_home,0.24007845544822856,0.007845544822857325
2024,Seattle (King Co),bicycle,0.014253454873572817,0.002564667945872996
2024,Seattle (King Co),carpool,0.08311713495314008,0.006697849275715879
2024,Seattle (King Co),drove_alone,0.5398133422158419,0.010199246550599804
2024,Seattle (King Co),other,0.007451611440295625,0.0016412311031668958
2024,Seattle (King Co),public_transit,0.08477635000836645,0.00497529943280179
2024,Seattle (King Co),taxi_or_ride_share,0.0014950137538137706,5.629758905574869e-4
2024,Seattle (King Co),total,1,0.0092242035845926
2024,Seattle (King Co),walked,0.055215424288343744,0.004020586151731386
2024,Seattle (King Co),work_from_home,0.21163436592494594,0.007647871091031638
