date,region,confirmed,deaths
2020-06-12,Portland (Multnomah Co),1443,67
2020-06-12,Seattle (King Co),8646,588
2020-06-12,Vancouver (BC),2709,168
2020-06-13,Portland (Multnomah Co),1490,67
2020-06-13,Seattle (King Co),8702,593
2020-06-13,Vancouver (BC),2709,168
2020-06-14,Portland (Multnomah Co),1522,68
2020-06-14,Seattle (King Co),8753,593
2020-06-14,Vancouver (BC),2709,168
2020-06-15,Portland (Multnomah Co),1559,68
2020-06-15,Seattle (King Co),8799,594
2020-06-15,Vancouver (BC),2745,168
2020-06-16,Portland (Multnomah Co),1601,68
2020-06-16,Seattle (King Co),8857,597
2020-06-16,Vancouver (BC),2756,168
2020-06-17,Portland (Multnomah Co),1635,68
2020-06-17,Seattle (King Co),8895,593
2020-06-17,Vancouver (BC),2775,168
2020-06-18,Portland (Multnomah Co),1668,68
2020-06-18,Seattle (King Co),8989,599
2020-06-18,Vancouver (BC),2783,168
2020-06-19,Portland (Multnomah Co),1717,68
2020-06-19,Seattle (King Co),9098,602
2020-06-19,Vancouver (BC),2790,168
2020-06-20,Portland (Multnomah Co),1751,68
2020-06-20,Seattle (King Co),9167,603
2020-06-20,Vancouver (BC),2790,168
2020-06-21,Portland (Multnomah Co),1835,68
2020-06-21,Seattle (King Co),9236,602
2020-06-21,Vancouver (BC),2790,168
2020-06-22,Portland (Multnomah Co),1852,68
2020-06-22,Seattle (King Co),9275,604
2020-06-22,Vancouver (BC),2822,169
2020-06-23,Portland (Multnomah Co),1896,68
2020-06-23,Seattle (King Co),9371,606
2020-06-23,Vancouver (BC),2835,170
2020-06-24,Portland (Multnomah Co),1941,68
2020-06-24,Seattle (King Co),9504,606
2020-06-24,Vancouver (BC),2849,171
2020-06-25,Portland (Multnomah Co),1970,70
2020-06-25,Seattle (King Co),9614,608
2020-06-25,Vancouver (BC),2869,173
2020-06-26,Portland (Multnomah Co),2092,70
2020-06-26,Seattle (King Co),9697,609
2020-06-26,Vancouver (BC),2878,174
2020-06-27,Portland (Multnomah Co),2090,71
2020-06-27,Seattle (King Co),9821,612
2020-06-27,Vancouver (BC),2878,174
2020-06-28,Portland (Multnomah Co),2142,71
2020-06-28,Seattle (King Co),9903,612
2020-06-28,Vancouver (BC),2878,174
2020-06-29,Portland (Multnomah Co),2171,71
2020-06-29,Seattle (King Co),10071,612
2020-06-29,Vancouver (BC),2904,174
2020-06-30,Portland (Multnomah Co),2205,71
2020-06-30,Seattle (King Co),10198,612
2020-06-30,Vancouver (BC),2916,174
2020-07-01,Portland (Multnomah Co),2242,71
2020-07-01,Seattle (King Co),10358,614
2020-07-01,Vancouver (BC),2916,174
2020-07-02,Portland (Multnomah Co),2304,71
2020-07-02,Seattle (King Co),10598,617
2020-07-02,Vancouver (BC),2940,177
2020-07-03,Portland (Multnomah Co),2364,72
2020-07-03,Seattle (King Co),10721,620
2020-07-03,Vancouver (BC),2947,177
2020-07-04,Portland (Multnomah Co),2420,72
2020-07-04,Seattle (King Co),10786,621
2020-07-04,Vancouver (BC),2947,177
2020-07-05,Portland (Multnomah Co),2491,72
2020-07-05,Seattle (King Co),11016,622
2020-07-05,Vancouver (BC),2947,177
2020-07-06,Portland (Multnomah Co),2532,72
2020-07-06,Seattle (King Co),11142,624
2020-07-06,Vancouver (BC),2978,183
2020-07-07,Portland (Multnomah Co),2583,73
2020-07-07,Seattle (King Co),11208,628
2020-07-07,Vancouver (BC),2990,183
2020-07-08,Portland (Multnomah Co),2611,75
2020-07-08,Seattle (King Co),11321,630
2020-07-08,Vancouver (BC),3008,186
2020-07-09,Portland (Multnomah Co),2697,75
2020-07-09,Seattle (King Co),11488,634
2020-07-09,Vancouver (BC),3028,186
2020-07-10,Portland (Multnomah Co),2730,75
2020-07-10,Seattle (King Co),11634,635
2020-07-10,Vancouver (BC),3053,187
2020-07-11,Portland (Multnomah Co),2824,75
2020-07-11,Seattle (King Co),11773,635
2020-07-11,Vancouver (BC),3053,187
2020-07-12,Portland (Multnomah Co),2888,75
2020-07-12,Seattle (King Co),11947,639
2020-07-12,Vancouver (BC),3053,187
2020-07-13,Portland (Multnomah Co),2966,75
2020-07-13,Seattle (King Co),12101,639
2020-07-13,Vancouver (BC),3115,189
2020-07-14,Portland (Multnomah Co),3042,75
2020-07-14,Seattle (King Co),12246,645
2020-07-14,Vancouver (BC),3128,189
2020-07-15,Portland (Multnomah Co),3100,75
2020-07-15,Seattle (King Co),12355,651
2020-07-15,Vancouver (BC),3149,189
2020-07-16,Portland (Multnomah Co),3205,75
2020-07-16,Seattle (King Co),12594,652
2020-07-16,Vancouver (BC),3170,189
2020-07-17,Portland (Multnomah Co),3290,76
2020-07-17,Seattle (King Co),12809,652
2020-07-17,Vancouver (BC),3198,189
2020-07-18,Portland (Multnomah Co),3374,76
2020-07-18,Seattle (King Co),12993,658
2020-07-18,Vancouver (BC),3198,189
2020-07-19,Portland (Multnomah Co),3491,77
2020-07-19,Seattle (King Co),13161,656
2020-07-19,Vancouver (BC),3198,189
2020-07-20,Portland (Multnomah Co),3571,77
2020-07-20,Seattle (King Co),13341,657
2020-07-20,Vancouver (BC),3300,189
2020-07-21,Portland (Multnomah Co),3636,78
2020-07-21,Seattle (King Co),13488,659
2020-07-21,Vancouver (BC),3328,189
2020-07-22,Portland (Multnomah Co),3683,78
2020-07-22,Seattle (King Co),13661,659
2020-07-22,Vancouver (BC),3362,189
2020-07-23,Portland (Multnomah Co),3748,78
2020-07-23,Seattle (King Co),13837,659
2020-07-23,Vancouver (BC),3392,190
2020-07-24,Portland (Multnomah Co),3818,80
2020-07-24,Seattle (King Co),14066,662
2020-07-24,Vancouver (BC),3419,191
2020-07-25,Portland (Multnomah Co),3883,81
2020-07-25,Seattle (King Co),14274,663
2020-07-25,Vancouver (BC),3419,191
2020-07-26,Portland (Multnomah Co),3926,84
2020-07-26,Seattle (King Co),14452,663
2020-07-26,Vancouver (BC),3419,191
2020-07-27,Portland (Multnomah Co),4039,82
2020-07-27,Seattle (King Co),14638,664
2020-07-27,Vancouver (BC),3500,193
2020-07-28,Portland (Multnomah Co),4115,84
2020-07-28,Seattle (King Co),14748,667
2020-07-28,Vancouver (BC),3523,194
2020-07-29,Portland (Multnomah Co),4201,89
2020-07-29,Seattle (King Co),14898,667
2020-07-29,Vancouver (BC),3562,194
2020-07-30,Portland (Multnomah Co),4260,92
2020-07-30,Seattle (King Co),15058,668
2020-07-30,Vancouver (BC),3591,194
2020-07-31,Portland (Multnomah Co),4335,94
2020-07-31,Seattle (King Co),15216,668
2020-07-31,Vancouver (BC),3641,195
2020-08-01,Portland (Multnomah Co),4403,94
2020-08-01,Seattle (King Co),15418,674
2020-08-01,Vancouver (BC),3641,195
2020-08-02,Portland (Multnomah Co),4450,95
2020-08-02,Seattle (King Co),15529,676
2020-08-02,Vancouver (BC),3641,195
2020-08-03,Portland (Multnomah Co),4497,95
2020-08-03,Seattle (King Co),15653,677
2020-08-03,Vancouver (BC),3641,195
2020-08-04,Portland (Multnomah Co),4553,95
2020-08-04,Seattle (King Co),15798,678
2020-08-04,Vancouver (BC),3787,195
2020-08-05,Portland (Multnomah Co),4608,95
2020-08-05,Seattle (King Co),15965,678
2020-08-05,Vancouver (BC),3834,195
2020-08-06,Portland (Multnomah Co),4653,95
2020-08-06,Seattle (King Co),16157,682
2020-08-06,Vancouver (BC),3881,195
2020-08-07,Portland (Multnomah Co),4762,95
2020-08-07,Seattle (King Co),16291,689
2020-08-07,Vancouver (BC),3934,195
2020-08-08,Portland (Multnomah Co),4849,96
2020-08-08,Seattle (King Co),16491,694
2020-08-08,Vancouver (BC),3934,195
2020-08-09,Portland (Multnomah Co),4917,97
2020-08-09,Seattle (King Co),16620,693
2020-08-09,Vancouver (BC),3934,195
2020-08-10,Portland (Multnomah Co),4960,98
2020-08-10,Seattle (King Co),16768,695
2020-08-10,Vancouver (BC),4065,195
2020-08-11,Portland (Multnomah Co),5014,100
2020-08-11,Seattle (King Co),16849,698
2020-08-11,Vancouver (BC),4111,195
2020-08-12,Portland (Multnomah Co),5056,100
2020-08-12,Seattle (King Co),16998,699
2020-08-12,Vancouver (BC),4196,196
2020-08-13,Portland (Multnomah Co),5135,103
2020-08-13,Seattle (King Co),17223,705
2020-08-13,Vancouver (BC),4274,196
2020-08-14,Portland (Multnomah Co),5186,103
2020-08-14,Seattle (King Co),17359,705
2020-08-14,Vancouver (BC),4358,196
2020-08-15,Portland (Multnomah Co),5264,103
2020-08-15,Seattle (King Co),17533,708
2020-08-15,Vancouver (BC),4358,196
2020-08-16,Portland (Multnomah Co),5330,103
2020-08-16,Seattle (King Co),17662,713
2020-08-16,Vancouver (BC),4358,196
2020-08-17,Portland (Multnomah Co),5387,104
2020-08-17,Seattle (King Co),17843,713
2020-08-17,Vancouver (BC),4594,198
2020-08-18,Portland (Multnomah Co),5410,104
2020-08-18,Seattle (King Co),18008,717
2020-08-18,Vancouver (BC),4677,198
2020-08-19,Portland (Multnomah Co),5448,108
2020-08-19,Seattle (King Co),18149,720
2020-08-19,Vancouver (BC),4745,198
2020-08-20,Portland (Multnomah Co),5505,108
2020-08-20,Seattle (King Co),18332,726
2020-08-20,Vancouver (BC),4825,200
2020-08-21,Portland (Multnomah Co),5543,112
2020-08-21,Seattle (King Co),18437,729
2020-08-21,Vancouver (BC),4915,202
2020-08-22,Portland (Multnomah Co),5597,112
2020-08-22,Seattle (King Co),18589,731
2020-08-22,Vancouver (BC),4915,202
2020-08-23,Portland (Multnomah Co),5661,112
2020-08-23,Seattle (King Co),18697,732
2020-08-23,Vancouver (BC),4915,202
2020-08-24,Portland (Multnomah Co),5718,115
2020-08-24,Seattle (King Co),18843,735
2020-08-24,Vancouver (BC),5184,203
2020-08-25,Portland (Multnomah Co),5761,115
2020-08-25,Seattle (King Co),18896,734
2020-08-25,Vancouver (BC),5242,203
2020-08-26,Portland (Multnomah Co),5810,115
2020-08-26,Seattle (King Co),19068,738
2020-08-26,Vancouver (BC),5304,203
2020-08-27,Portland (Multnomah Co),5833,115
2020-08-27,Seattle (King Co),19196,741
2020-08-27,Vancouver (BC),5372,204
2020-08-28,Portland (Multnomah Co),5902,122
2020-08-28,Seattle (King Co),19380,742
2020-08-28,Vancouver (BC),5496,204
2020-08-29,Portland (Multnomah Co),5942,122
2020-08-29,Seattle (King Co),19499,742
2020-08-29,Vancouver (BC),5496,204
2020-08-30,Portland (Multnomah Co),5975,122
2020-08-30,Seattle (King Co),19573,742
2020-08-30,Vancouver (BC),5496,204
2020-08-31,Portland (Multnomah Co),6007,122
2020-08-31,Seattle (King Co),19684,742
2020-08-31,Vancouver (BC),5790,208
2020-09-01,Portland (Multnomah Co),6053,122
2020-09-01,Seattle (King Co),19730,747
2020-09-01,Vancouver (BC),5848,209
2020-09-02,Portland (Multnomah Co),6081,124
2020-09-02,Seattle (King Co),19838,750
2020-09-02,Vancouver (BC),5952,209
2020-09-03,Portland (Multnomah Co),6142,124
2020-09-03,Seattle (King Co),19934,751
2020-09-03,Vancouver (BC),6041,210
2020-09-04,Portland (Multnomah Co),6185,126
2020-09-04,Seattle (King Co),20092,754
2020-09-04,Vancouver (BC),6162,211
2020-09-05,Portland (Multnomah Co),6224,126
2020-09-05,Seattle (King Co),20184,754
2020-09-05,Vancouver (BC),6162,211
2020-09-06,Portland (Multnomah Co),6273,126
2020-09-06,Seattle (King Co),20283,755
2020-09-06,Vancouver (BC),6162,211
2020-09-07,Portland (Multnomah Co),6302,127
2020-09-07,Seattle (King Co),20339,755
2020-09-07,Vancouver (BC),6162,211
2020-09-08,Portland (Multnomah Co),6343,127
2020-09-08,Seattle (King Co),20345,755
2020-09-08,Vancouver (BC),6591,213
2020-09-09,Portland (Multnomah Co),6365,127
2020-09-09,Seattle (King Co),20459,762
2020-09-09,Vancouver (BC),6691,213
2020-09-10,Portland (Multnomah Co),6399,127
2020-09-10,Seattle (King Co),20585,763
2020-09-10,Vancouver (BC),6830,213
2020-09-11,Portland (Multnomah Co),6458,126
2020-09-11,Seattle (King Co),20718,763
2020-09-11,Vancouver (BC),6962,213
2020-09-12,Portland (Multnomah Co),6522,128
2020-09-12,Seattle (King Co),20819,763
2020-09-12,Vancouver (BC),6962,213
2020-09-13,Portland (Multnomah Co),6556,127
2020-09-13,Seattle (King Co),20887,763
2020-09-13,Vancouver (BC),6962,213
2020-09-14,Portland (Multnomah Co),6584,127
2020-09-14,Seattle (King Co),20950,766
2020-09-14,Vancouver (BC),7279,219
2020-09-15,Portland (Multnomah Co),6618,129
2020-09-15,Seattle (King Co),21032,767
2020-09-15,Vancouver (BC),7376,219
2020-09-16,Portland (Multnomah Co),6649,130
2020-09-16,Seattle (King Co),21177,768
2020-09-16,Vancouver (BC),7498,219
2020-09-17,Portland (Multnomah Co),6690,129
2020-09-17,Seattle (King Co),21215,769
2020-09-17,Vancouver (BC),7663,220
2020-09-18,Portland (Multnomah Co),6743,132
2020-09-18,Seattle (King Co),21323,770
2020-09-18,Vancouver (BC),7842,223
2020-09-19,Portland (Multnomah Co),6779,132
2020-09-19,Seattle (King Co),21418,770
2020-09-19,Vancouver (BC),7842,223
2020-09-20,Portland (Multnomah Co),6818,132
2020-09-20,Seattle (King Co),21478,770
2020-09-20,Vancouver (BC),7842,223
2020-09-21,Portland (Multnomah Co),6853,136
2020-09-21,Seattle (King Co),21552,772
2020-09-21,Vancouver (BC),8208,227
2020-09-22,Portland (Multnomah Co),6912,136
2020-09-22,Seattle (King Co),21609,776
2020-09-22,Vancouver (BC),8304,227
2020-09-23,Portland (Multnomah Co),6938,136
2020-09-23,Seattle (King Co),21696,778
2020-09-23,Vancouver (BC),8395,227
2020-09-24,Portland (Multnomah Co),7022,136
2020-09-24,Seattle (King Co),21822,778
2020-09-24,Vancouver (BC),8543,229
2020-09-25,Portland (Multnomah Co),7081,138
2020-09-25,Seattle (King Co),21915,787
2020-09-25,Vancouver (BC),8641,230
2020-09-26,Portland (Multnomah Co),7113,138
2020-09-26,Seattle (King Co),22019,787
2020-09-26,Vancouver (BC),8641,230
2020-09-27,Portland (Multnomah Co),7184,138
